datetime,patient_visits,patient_types,visit_times,patient_type_1,visit_time_1,patient_type_2,visit_time_2,patient_type_3,visit_time_3,patient_type_4,visit_time_4,patient_type_5,visit_time_5,patient_type_6,visit_time_6,patient_type_7,visit_time_7,patient_type_8,visit_time_8
2019-03-17 00:59:00,4,['A' 'A' 'A' 'C'],"[Timestamp('2019-03-17 00:46:00'), Timestamp('2019-03-17 00:29:00'), Timestamp('2019-03-17 00:52:00'), Timestamp('2019-03-17 00:34:00')]",A,2019-03-17 00:46:00,A,2019-03-17 00:29:00,A,2019-03-17 00:52:00,C,2019-03-17 00:34:00,,,,,,,,
2019-03-17 01:59:00,4,['D' 'C' 'D' 'B'],"[Timestamp('2019-03-17 01:21:00'), Timestamp('2019-03-17 01:41:00'), Timestamp('2019-03-17 01:27:00'), Timestamp('2019-03-17 01:26:00')]",D,2019-03-17 01:21:00,C,2019-03-17 01:41:00,D,2019-03-17 01:27:00,B,2019-03-17 01:26:00,,,,,,,,
2019-03-17 02:59:00,3,['C' 'B' 'C'],"[Timestamp('2019-03-17 02:22:00'), Timestamp('2019-03-17 02:58:00'), Timestamp('2019-03-17 02:54:00')]",C,2019-03-17 02:22:00,B,2019-03-17 02:58:00,C,2019-03-17 02:54:00,,,,,,,,,,
2019-03-17 03:59:00,5,['C' 'C' 'A' 'B' 'A'],"[Timestamp('2019-03-17 03:33:00'), Timestamp('2019-03-17 03:35:00'), Timestamp('2019-03-17 03:43:00'), Timestamp('2019-03-17 03:46:00'), Timestamp('2019-03-17 03:33:00')]",C,2019-03-17 03:33:00,C,2019-03-17 03:35:00,A,2019-03-17 03:43:00,B,2019-03-17 03:46:00,A,2019-03-17 03:33:00,,,,,,
2019-03-17 04:59:00,3,['B' 'C' 'D'],"[Timestamp('2019-03-17 04:57:00'), Timestamp('2019-03-17 04:43:00'), Timestamp('2019-03-17 04:25:00')]",B,2019-03-17 04:57:00,C,2019-03-17 04:43:00,D,2019-03-17 04:25:00,,,,,,,,,,
2019-03-17 05:59:00,3,['B' 'A' 'C'],"[Timestamp('2019-03-17 05:01:00'), Timestamp('2019-03-17 05:03:00'), Timestamp('2019-03-17 05:17:00')]",B,2019-03-17 05:01:00,A,2019-03-17 05:03:00,C,2019-03-17 05:17:00,,,,,,,,,,
2019-03-17 06:59:00,3,['B' 'A' 'B'],"[Timestamp('2019-03-17 06:12:00'), Timestamp('2019-03-17 06:57:00'), Timestamp('2019-03-17 06:47:00')]",B,2019-03-17 06:12:00,A,2019-03-17 06:57:00,B,2019-03-17 06:47:00,,,,,,,,,,
2019-03-17 07:59:00,7,['B' 'A' 'A' 'A' 'B' 'A' 'C'],"[Timestamp('2019-03-17 07:22:00'), Timestamp('2019-03-17 07:02:00'), Timestamp('2019-03-17 07:15:00'), Timestamp('2019-03-17 07:55:00'), Timestamp('2019-03-17 07:06:00'), Timestamp('2019-03-17 07:10:00'), Timestamp('2019-03-17 07:57:00')]",B,2019-03-17 07:22:00,A,2019-03-17 07:02:00,A,2019-03-17 07:15:00,A,2019-03-17 07:55:00,B,2019-03-17 07:06:00,A,2019-03-17 07:10:00,C,2019-03-17 07:57:00,,
2019-03-17 08:59:00,4,['B' 'C' 'D' 'A'],"[Timestamp('2019-03-17 08:28:00'), Timestamp('2019-03-17 08:37:00'), Timestamp('2019-03-17 08:38:00'), Timestamp('2019-03-17 08:33:00')]",B,2019-03-17 08:28:00,C,2019-03-17 08:37:00,D,2019-03-17 08:38:00,A,2019-03-17 08:33:00,,,,,,,,
2019-03-17 09:59:00,4,['C' 'A' 'B' 'B'],"[Timestamp('2019-03-17 09:23:00'), Timestamp('2019-03-17 09:24:00'), Timestamp('2019-03-17 09:21:00'), Timestamp('2019-03-17 09:03:00')]",C,2019-03-17 09:23:00,A,2019-03-17 09:24:00,B,2019-03-17 09:21:00,B,2019-03-17 09:03:00,,,,,,,,
2019-03-17 10:59:00,6,['D' 'B' 'B' 'A' 'A' 'B'],"[Timestamp('2019-03-17 10:54:00'), Timestamp('2019-03-17 10:14:00'), Timestamp('2019-03-17 10:52:00'), Timestamp('2019-03-17 10:00:00'), Timestamp('2019-03-17 10:55:00'), Timestamp('2019-03-17 10:31:00')]",D,2019-03-17 10:54:00,B,2019-03-17 10:14:00,B,2019-03-17 10:52:00,A,2019-03-17 10:00:00,A,2019-03-17 10:55:00,B,2019-03-17 10:31:00,,,,
2019-03-17 11:59:00,4,['A' 'A' 'C' 'A'],"[Timestamp('2019-03-17 11:21:00'), Timestamp('2019-03-17 11:57:00'), Timestamp('2019-03-17 11:21:00'), Timestamp('2019-03-17 11:20:00')]",A,2019-03-17 11:21:00,A,2019-03-17 11:57:00,C,2019-03-17 11:21:00,A,2019-03-17 11:20:00,,,,,,,,
2019-03-17 12:59:00,3,['D' 'A' 'B'],"[Timestamp('2019-03-17 12:23:00'), Timestamp('2019-03-17 12:52:00'), Timestamp('2019-03-17 12:55:00')]",D,2019-03-17 12:23:00,A,2019-03-17 12:52:00,B,2019-03-17 12:55:00,,,,,,,,,,
2019-03-17 13:59:00,4,['A' 'B' 'A' 'D'],"[Timestamp('2019-03-17 13:48:00'), Timestamp('2019-03-17 13:49:00'), Timestamp('2019-03-17 13:05:00'), Timestamp('2019-03-17 13:06:00')]",A,2019-03-17 13:48:00,B,2019-03-17 13:49:00,A,2019-03-17 13:05:00,D,2019-03-17 13:06:00,,,,,,,,
2019-03-17 14:59:00,2,['C' 'C'],"[Timestamp('2019-03-17 14:55:00'), Timestamp('2019-03-17 14:16:00')]",C,2019-03-17 14:55:00,C,2019-03-17 14:16:00,,,,,,,,,,,,
2019-03-17 15:59:00,6,['B' 'A' 'B' 'D' 'C' 'D'],"[Timestamp('2019-03-17 15:27:00'), Timestamp('2019-03-17 15:43:00'), Timestamp('2019-03-17 15:37:00'), Timestamp('2019-03-17 15:05:00'), Timestamp('2019-03-17 15:28:00'), Timestamp('2019-03-17 15:25:00')]",B,2019-03-17 15:27:00,A,2019-03-17 15:43:00,B,2019-03-17 15:37:00,D,2019-03-17 15:05:00,C,2019-03-17 15:28:00,D,2019-03-17 15:25:00,,,,
2019-03-17 16:59:00,2,['A' 'B'],"[Timestamp('2019-03-17 16:17:00'), Timestamp('2019-03-17 16:49:00')]",A,2019-03-17 16:17:00,B,2019-03-17 16:49:00,,,,,,,,,,,,
2019-03-17 17:59:00,3,['B' 'B' 'C'],"[Timestamp('2019-03-17 17:27:00'), Timestamp('2019-03-17 17:33:00'), Timestamp('2019-03-17 17:05:00')]",B,2019-03-17 17:27:00,B,2019-03-17 17:33:00,C,2019-03-17 17:05:00,,,,,,,,,,
2019-03-17 18:59:00,5,['C' 'B' 'C' 'A' 'C'],"[Timestamp('2019-03-17 18:35:00'), Timestamp('2019-03-17 18:37:00'), Timestamp('2019-03-17 18:53:00'), Timestamp('2019-03-17 18:51:00'), Timestamp('2019-03-17 18:13:00')]",C,2019-03-17 18:35:00,B,2019-03-17 18:37:00,C,2019-03-17 18:53:00,A,2019-03-17 18:51:00,C,2019-03-17 18:13:00,,,,,,
2019-03-17 19:59:00,7,['B' 'C' 'C' 'A' 'A' 'A' 'B'],"[Timestamp('2019-03-17 19:38:00'), Timestamp('2019-03-17 19:53:00'), Timestamp('2019-03-17 19:01:00'), Timestamp('2019-03-17 19:19:00'), Timestamp('2019-03-17 19:28:00'), Timestamp('2019-03-17 19:29:00'), Timestamp('2019-03-17 19:22:00')]",B,2019-03-17 19:38:00,C,2019-03-17 19:53:00,C,2019-03-17 19:01:00,A,2019-03-17 19:19:00,A,2019-03-17 19:28:00,A,2019-03-17 19:29:00,B,2019-03-17 19:22:00,,
2019-03-17 20:59:00,4,['C' 'C' 'A' 'A'],"[Timestamp('2019-03-17 20:54:00'), Timestamp('2019-03-17 20:58:00'), Timestamp('2019-03-17 20:06:00'), Timestamp('2019-03-17 20:42:00')]",C,2019-03-17 20:54:00,C,2019-03-17 20:58:00,A,2019-03-17 20:06:00,A,2019-03-17 20:42:00,,,,,,,,
2019-03-17 21:59:00,5,['A' 'D' 'A' 'B' 'A'],"[Timestamp('2019-03-17 21:05:00'), Timestamp('2019-03-17 21:29:00'), Timestamp('2019-03-17 21:29:00'), Timestamp('2019-03-17 21:13:00'), Timestamp('2019-03-17 21:48:00')]",A,2019-03-17 21:05:00,D,2019-03-17 21:29:00,A,2019-03-17 21:29:00,B,2019-03-17 21:13:00,A,2019-03-17 21:48:00,,,,,,
2019-03-17 22:59:00,4,['A' 'C' 'B' 'D'],"[Timestamp('2019-03-17 22:57:00'), Timestamp('2019-03-17 22:39:00'), Timestamp('2019-03-17 22:48:00'), Timestamp('2019-03-17 22:51:00')]",A,2019-03-17 22:57:00,C,2019-03-17 22:39:00,B,2019-03-17 22:48:00,D,2019-03-17 22:51:00,,,,,,,,
2019-03-17 23:59:00,3,['B' 'C' 'B'],"[Timestamp('2019-03-17 23:36:00'), Timestamp('2019-03-17 23:51:00'), Timestamp('2019-03-17 23:19:00')]",B,2019-03-17 23:36:00,C,2019-03-17 23:51:00,B,2019-03-17 23:19:00,,,,,,,,,,
2019-03-18 00:59:00,4,['B' 'C' 'B' 'C'],"[Timestamp('2019-03-18 00:43:00'), Timestamp('2019-03-18 00:36:00'), Timestamp('2019-03-18 00:26:00'), Timestamp('2019-03-18 00:38:00')]",B,2019-03-18 00:43:00,C,2019-03-18 00:36:00,B,2019-03-18 00:26:00,C,2019-03-18 00:38:00,,,,,,,,
2019-03-18 01:59:00,2,['B' 'B'],"[Timestamp('2019-03-18 01:06:00'), Timestamp('2019-03-18 01:00:00')]",B,2019-03-18 01:06:00,B,2019-03-18 01:00:00,,,,,,,,,,,,
2019-03-18 02:59:00,3,['D' 'A' 'B'],"[Timestamp('2019-03-18 02:13:00'), Timestamp('2019-03-18 02:58:00'), Timestamp('2019-03-18 02:42:00')]",D,2019-03-18 02:13:00,A,2019-03-18 02:58:00,B,2019-03-18 02:42:00,,,,,,,,,,
2019-03-18 03:59:00,5,['B' 'B' 'B' 'C' 'A'],"[Timestamp('2019-03-18 03:32:00'), Timestamp('2019-03-18 03:39:00'), Timestamp('2019-03-18 03:55:00'), Timestamp('2019-03-18 03:48:00'), Timestamp('2019-03-18 03:45:00')]",B,2019-03-18 03:32:00,B,2019-03-18 03:39:00,B,2019-03-18 03:55:00,C,2019-03-18 03:48:00,A,2019-03-18 03:45:00,,,,,,
2019-03-18 04:59:00,3,['B' 'B' 'A'],"[Timestamp('2019-03-18 04:49:00'), Timestamp('2019-03-18 04:54:00'), Timestamp('2019-03-18 04:22:00')]",B,2019-03-18 04:49:00,B,2019-03-18 04:54:00,A,2019-03-18 04:22:00,,,,,,,,,,
2019-03-18 05:59:00,5,['C' 'B' 'A' 'C' 'D'],"[Timestamp('2019-03-18 05:20:00'), Timestamp('2019-03-18 05:38:00'), Timestamp('2019-03-18 05:41:00'), Timestamp('2019-03-18 05:45:00'), Timestamp('2019-03-18 05:19:00')]",C,2019-03-18 05:20:00,B,2019-03-18 05:38:00,A,2019-03-18 05:41:00,C,2019-03-18 05:45:00,D,2019-03-18 05:19:00,,,,,,
2019-03-18 06:59:00,3,['A' 'C' 'C'],"[Timestamp('2019-03-18 06:15:00'), Timestamp('2019-03-18 06:16:00'), Timestamp('2019-03-18 06:10:00')]",A,2019-03-18 06:15:00,C,2019-03-18 06:16:00,C,2019-03-18 06:10:00,,,,,,,,,,
2019-03-18 07:59:00,6,['A' 'B' 'B' 'A' 'C' 'A'],"[Timestamp('2019-03-18 07:02:00'), Timestamp('2019-03-18 07:27:00'), Timestamp('2019-03-18 07:36:00'), Timestamp('2019-03-18 07:20:00'), Timestamp('2019-03-18 07:31:00'), Timestamp('2019-03-18 07:45:00')]",A,2019-03-18 07:02:00,B,2019-03-18 07:27:00,B,2019-03-18 07:36:00,A,2019-03-18 07:20:00,C,2019-03-18 07:31:00,A,2019-03-18 07:45:00,,,,
2019-03-18 08:59:00,4,['D' 'B' 'B' 'C'],"[Timestamp('2019-03-18 08:19:00'), Timestamp('2019-03-18 08:26:00'), Timestamp('2019-03-18 08:14:00'), Timestamp('2019-03-18 08:22:00')]",D,2019-03-18 08:19:00,B,2019-03-18 08:26:00,B,2019-03-18 08:14:00,C,2019-03-18 08:22:00,,,,,,,,
2019-03-18 09:59:00,4,['B' 'C' 'D' 'A'],"[Timestamp('2019-03-18 09:31:00'), Timestamp('2019-03-18 09:39:00'), Timestamp('2019-03-18 09:11:00'), Timestamp('2019-03-18 09:09:00')]",B,2019-03-18 09:31:00,C,2019-03-18 09:39:00,D,2019-03-18 09:11:00,A,2019-03-18 09:09:00,,,,,,,,
2019-03-18 10:59:00,4,['B' 'B' 'B' 'D'],"[Timestamp('2019-03-18 10:19:00'), Timestamp('2019-03-18 10:58:00'), Timestamp('2019-03-18 10:46:00'), Timestamp('2019-03-18 10:57:00')]",B,2019-03-18 10:19:00,B,2019-03-18 10:58:00,B,2019-03-18 10:46:00,D,2019-03-18 10:57:00,,,,,,,,
2019-03-18 11:59:00,5,['A' 'C' 'B' 'A' 'C'],"[Timestamp('2019-03-18 11:09:00'), Timestamp('2019-03-18 11:57:00'), Timestamp('2019-03-18 11:53:00'), Timestamp('2019-03-18 11:47:00'), Timestamp('2019-03-18 11:03:00')]",A,2019-03-18 11:09:00,C,2019-03-18 11:57:00,B,2019-03-18 11:53:00,A,2019-03-18 11:47:00,C,2019-03-18 11:03:00,,,,,,
2019-03-18 12:59:00,3,['B' 'D' 'C'],"[Timestamp('2019-03-18 12:20:00'), Timestamp('2019-03-18 12:33:00'), Timestamp('2019-03-18 12:01:00')]",B,2019-03-18 12:20:00,D,2019-03-18 12:33:00,C,2019-03-18 12:01:00,,,,,,,,,,
2019-03-18 13:59:00,5,['A' 'A' 'B' 'B' 'A'],"[Timestamp('2019-03-18 13:29:00'), Timestamp('2019-03-18 13:14:00'), Timestamp('2019-03-18 13:04:00'), Timestamp('2019-03-18 13:44:00'), Timestamp('2019-03-18 13:48:00')]",A,2019-03-18 13:29:00,A,2019-03-18 13:14:00,B,2019-03-18 13:04:00,B,2019-03-18 13:44:00,A,2019-03-18 13:48:00,,,,,,
2019-03-18 14:59:00,4,['A' 'A' 'C' 'A'],"[Timestamp('2019-03-18 14:17:00'), Timestamp('2019-03-18 14:48:00'), Timestamp('2019-03-18 14:24:00'), Timestamp('2019-03-18 14:03:00')]",A,2019-03-18 14:17:00,A,2019-03-18 14:48:00,C,2019-03-18 14:24:00,A,2019-03-18 14:03:00,,,,,,,,
2019-03-18 15:59:00,3,['C' 'D' 'C'],"[Timestamp('2019-03-18 15:58:00'), Timestamp('2019-03-18 15:39:00'), Timestamp('2019-03-18 15:04:00')]",C,2019-03-18 15:58:00,D,2019-03-18 15:39:00,C,2019-03-18 15:04:00,,,,,,,,,,
2019-03-18 16:59:00,4,['B' 'A' 'B' 'A'],"[Timestamp('2019-03-18 16:22:00'), Timestamp('2019-03-18 16:13:00'), Timestamp('2019-03-18 16:02:00'), Timestamp('2019-03-18 16:48:00')]",B,2019-03-18 16:22:00,A,2019-03-18 16:13:00,B,2019-03-18 16:02:00,A,2019-03-18 16:48:00,,,,,,,,
2019-03-18 17:59:00,2,['A' 'B'],"[Timestamp('2019-03-18 17:22:00'), Timestamp('2019-03-18 17:01:00')]",A,2019-03-18 17:22:00,B,2019-03-18 17:01:00,,,,,,,,,,,,
2019-03-18 18:59:00,6,['A' 'A' 'C' 'D' 'B' 'B'],"[Timestamp('2019-03-18 18:56:00'), Timestamp('2019-03-18 18:43:00'), Timestamp('2019-03-18 18:27:00'), Timestamp('2019-03-18 18:49:00'), Timestamp('2019-03-18 18:39:00'), Timestamp('2019-03-18 18:11:00')]",A,2019-03-18 18:56:00,A,2019-03-18 18:43:00,C,2019-03-18 18:27:00,D,2019-03-18 18:49:00,B,2019-03-18 18:39:00,B,2019-03-18 18:11:00,,,,
2019-03-18 19:59:00,4,['D' 'A' 'D' 'B'],"[Timestamp('2019-03-18 19:14:00'), Timestamp('2019-03-18 19:02:00'), Timestamp('2019-03-18 19:14:00'), Timestamp('2019-03-18 19:28:00')]",D,2019-03-18 19:14:00,A,2019-03-18 19:02:00,D,2019-03-18 19:14:00,B,2019-03-18 19:28:00,,,,,,,,
2019-03-18 20:59:00,6,['B' 'C' 'C' 'C' 'B' 'D'],"[Timestamp('2019-03-18 20:11:00'), Timestamp('2019-03-18 20:11:00'), Timestamp('2019-03-18 20:27:00'), Timestamp('2019-03-18 20:16:00'), Timestamp('2019-03-18 20:48:00'), Timestamp('2019-03-18 20:50:00')]",B,2019-03-18 20:11:00,C,2019-03-18 20:11:00,C,2019-03-18 20:27:00,C,2019-03-18 20:16:00,B,2019-03-18 20:48:00,D,2019-03-18 20:50:00,,,,
2019-03-18 21:59:00,6,['B' 'D' 'C' 'B' 'C' 'C'],"[Timestamp('2019-03-18 21:10:00'), Timestamp('2019-03-18 21:19:00'), Timestamp('2019-03-18 21:04:00'), Timestamp('2019-03-18 21:27:00'), Timestamp('2019-03-18 21:23:00'), Timestamp('2019-03-18 21:33:00')]",B,2019-03-18 21:10:00,D,2019-03-18 21:19:00,C,2019-03-18 21:04:00,B,2019-03-18 21:27:00,C,2019-03-18 21:23:00,C,2019-03-18 21:33:00,,,,
2019-03-18 22:59:00,5,['D' 'C' 'C' 'D' 'A'],"[Timestamp('2019-03-18 22:15:00'), Timestamp('2019-03-18 22:45:00'), Timestamp('2019-03-18 22:45:00'), Timestamp('2019-03-18 22:32:00'), Timestamp('2019-03-18 22:48:00')]",D,2019-03-18 22:15:00,C,2019-03-18 22:45:00,C,2019-03-18 22:45:00,D,2019-03-18 22:32:00,A,2019-03-18 22:48:00,,,,,,
2019-03-18 23:59:00,4,['A' 'C' 'A' 'D'],"[Timestamp('2019-03-18 23:51:00'), Timestamp('2019-03-18 23:44:00'), Timestamp('2019-03-18 23:27:00'), Timestamp('2019-03-18 23:30:00')]",A,2019-03-18 23:51:00,C,2019-03-18 23:44:00,A,2019-03-18 23:27:00,D,2019-03-18 23:30:00,,,,,,,,
2019-03-19 00:59:00,3,['A' 'B' 'B'],"[Timestamp('2019-03-19 00:38:00'), Timestamp('2019-03-19 00:51:00'), Timestamp('2019-03-19 00:48:00')]",A,2019-03-19 00:38:00,B,2019-03-19 00:51:00,B,2019-03-19 00:48:00,,,,,,,,,,
2019-03-19 01:59:00,5,['A' 'D' 'C' 'B' 'B'],"[Timestamp('2019-03-19 01:12:00'), Timestamp('2019-03-19 01:21:00'), Timestamp('2019-03-19 01:21:00'), Timestamp('2019-03-19 01:49:00'), Timestamp('2019-03-19 01:48:00')]",A,2019-03-19 01:12:00,D,2019-03-19 01:21:00,C,2019-03-19 01:21:00,B,2019-03-19 01:49:00,B,2019-03-19 01:48:00,,,,,,
2019-03-19 02:59:00,4,['A' 'A' 'B' 'C'],"[Timestamp('2019-03-19 02:38:00'), Timestamp('2019-03-19 02:28:00'), Timestamp('2019-03-19 02:18:00'), Timestamp('2019-03-19 02:14:00')]",A,2019-03-19 02:38:00,A,2019-03-19 02:28:00,B,2019-03-19 02:18:00,C,2019-03-19 02:14:00,,,,,,,,
2019-03-19 03:59:00,5,['B' 'B' 'A' 'A' 'B'],"[Timestamp('2019-03-19 03:08:00'), Timestamp('2019-03-19 03:56:00'), Timestamp('2019-03-19 03:21:00'), Timestamp('2019-03-19 03:26:00'), Timestamp('2019-03-19 03:44:00')]",B,2019-03-19 03:08:00,B,2019-03-19 03:56:00,A,2019-03-19 03:21:00,A,2019-03-19 03:26:00,B,2019-03-19 03:44:00,,,,,,
2019-03-19 04:59:00,4,['D' 'B' 'A' 'A'],"[Timestamp('2019-03-19 04:10:00'), Timestamp('2019-03-19 04:55:00'), Timestamp('2019-03-19 04:32:00'), Timestamp('2019-03-19 04:02:00')]",D,2019-03-19 04:10:00,B,2019-03-19 04:55:00,A,2019-03-19 04:32:00,A,2019-03-19 04:02:00,,,,,,,,
2019-03-19 05:59:00,3,['A' 'A' 'C'],"[Timestamp('2019-03-19 05:31:00'), Timestamp('2019-03-19 05:26:00'), Timestamp('2019-03-19 05:35:00')]",A,2019-03-19 05:31:00,A,2019-03-19 05:26:00,C,2019-03-19 05:35:00,,,,,,,,,,
2019-03-19 06:59:00,4,['B' 'A' 'A' 'A'],"[Timestamp('2019-03-19 06:34:00'), Timestamp('2019-03-19 06:33:00'), Timestamp('2019-03-19 06:21:00'), Timestamp('2019-03-19 06:31:00')]",B,2019-03-19 06:34:00,A,2019-03-19 06:33:00,A,2019-03-19 06:21:00,A,2019-03-19 06:31:00,,,,,,,,
2019-03-19 07:59:00,2,['A' 'B'],"[Timestamp('2019-03-19 07:43:00'), Timestamp('2019-03-19 07:00:00')]",A,2019-03-19 07:43:00,B,2019-03-19 07:00:00,,,,,,,,,,,,
2019-03-19 08:59:00,5,['A' 'D' 'B' 'D' 'A'],"[Timestamp('2019-03-19 08:32:00'), Timestamp('2019-03-19 08:12:00'), Timestamp('2019-03-19 08:39:00'), Timestamp('2019-03-19 08:24:00'), Timestamp('2019-03-19 08:10:00')]",A,2019-03-19 08:32:00,D,2019-03-19 08:12:00,B,2019-03-19 08:39:00,D,2019-03-19 08:24:00,A,2019-03-19 08:10:00,,,,,,
2019-03-19 09:59:00,4,['D' 'B' 'B' 'D'],"[Timestamp('2019-03-19 09:36:00'), Timestamp('2019-03-19 09:43:00'), Timestamp('2019-03-19 09:58:00'), Timestamp('2019-03-19 09:00:00')]",D,2019-03-19 09:36:00,B,2019-03-19 09:43:00,B,2019-03-19 09:58:00,D,2019-03-19 09:00:00,,,,,,,,
2019-03-19 10:59:00,3,['B' 'C' 'B'],"[Timestamp('2019-03-19 10:11:00'), Timestamp('2019-03-19 10:13:00'), Timestamp('2019-03-19 10:50:00')]",B,2019-03-19 10:11:00,C,2019-03-19 10:13:00,B,2019-03-19 10:50:00,,,,,,,,,,
2019-03-19 11:59:00,5,['B' 'D' 'B' 'B' 'B'],"[Timestamp('2019-03-19 11:50:00'), Timestamp('2019-03-19 11:34:00'), Timestamp('2019-03-19 11:57:00'), Timestamp('2019-03-19 11:11:00'), Timestamp('2019-03-19 11:58:00')]",B,2019-03-19 11:50:00,D,2019-03-19 11:34:00,B,2019-03-19 11:57:00,B,2019-03-19 11:11:00,B,2019-03-19 11:58:00,,,,,,
2019-03-19 12:59:00,5,['B' 'D' 'D' 'A' 'B'],"[Timestamp('2019-03-19 12:02:00'), Timestamp('2019-03-19 12:18:00'), Timestamp('2019-03-19 12:18:00'), Timestamp('2019-03-19 12:17:00'), Timestamp('2019-03-19 12:07:00')]",B,2019-03-19 12:02:00,D,2019-03-19 12:18:00,D,2019-03-19 12:18:00,A,2019-03-19 12:17:00,B,2019-03-19 12:07:00,,,,,,
2019-03-19 13:59:00,6,['A' 'B' 'B' 'C' 'B' 'A'],"[Timestamp('2019-03-19 13:28:00'), Timestamp('2019-03-19 13:38:00'), Timestamp('2019-03-19 13:01:00'), Timestamp('2019-03-19 13:39:00'), Timestamp('2019-03-19 13:14:00'), Timestamp('2019-03-19 13:47:00')]",A,2019-03-19 13:28:00,B,2019-03-19 13:38:00,B,2019-03-19 13:01:00,C,2019-03-19 13:39:00,B,2019-03-19 13:14:00,A,2019-03-19 13:47:00,,,,
2019-03-19 14:59:00,5,['D' 'A' 'A' 'A' 'B'],"[Timestamp('2019-03-19 14:36:00'), Timestamp('2019-03-19 14:41:00'), Timestamp('2019-03-19 14:56:00'), Timestamp('2019-03-19 14:16:00'), Timestamp('2019-03-19 14:07:00')]",D,2019-03-19 14:36:00,A,2019-03-19 14:41:00,A,2019-03-19 14:56:00,A,2019-03-19 14:16:00,B,2019-03-19 14:07:00,,,,,,
2019-03-19 15:59:00,6,['A' 'B' 'C' 'D' 'B' 'B'],"[Timestamp('2019-03-19 15:12:00'), Timestamp('2019-03-19 15:22:00'), Timestamp('2019-03-19 15:16:00'), Timestamp('2019-03-19 15:56:00'), Timestamp('2019-03-19 15:49:00'), Timestamp('2019-03-19 15:56:00')]",A,2019-03-19 15:12:00,B,2019-03-19 15:22:00,C,2019-03-19 15:16:00,D,2019-03-19 15:56:00,B,2019-03-19 15:49:00,B,2019-03-19 15:56:00,,,,
2019-03-19 16:59:00,6,['C' 'C' 'B' 'B' 'B' 'C'],"[Timestamp('2019-03-19 16:21:00'), Timestamp('2019-03-19 16:57:00'), Timestamp('2019-03-19 16:09:00'), Timestamp('2019-03-19 16:30:00'), Timestamp('2019-03-19 16:55:00'), Timestamp('2019-03-19 16:52:00')]",C,2019-03-19 16:21:00,C,2019-03-19 16:57:00,B,2019-03-19 16:09:00,B,2019-03-19 16:30:00,B,2019-03-19 16:55:00,C,2019-03-19 16:52:00,,,,
2019-03-19 17:59:00,4,['A' 'C' 'A' 'D'],"[Timestamp('2019-03-19 17:48:00'), Timestamp('2019-03-19 17:32:00'), Timestamp('2019-03-19 17:34:00'), Timestamp('2019-03-19 17:21:00')]",A,2019-03-19 17:48:00,C,2019-03-19 17:32:00,A,2019-03-19 17:34:00,D,2019-03-19 17:21:00,,,,,,,,
2019-03-19 18:59:00,4,['C' 'D' 'B' 'C'],"[Timestamp('2019-03-19 18:33:00'), Timestamp('2019-03-19 18:15:00'), Timestamp('2019-03-19 18:07:00'), Timestamp('2019-03-19 18:23:00')]",C,2019-03-19 18:33:00,D,2019-03-19 18:15:00,B,2019-03-19 18:07:00,C,2019-03-19 18:23:00,,,,,,,,
2019-03-19 19:59:00,3,['A' 'A' 'B'],"[Timestamp('2019-03-19 19:33:00'), Timestamp('2019-03-19 19:02:00'), Timestamp('2019-03-19 19:13:00')]",A,2019-03-19 19:33:00,A,2019-03-19 19:02:00,B,2019-03-19 19:13:00,,,,,,,,,,
2019-03-19 20:59:00,4,['C' 'B' 'B' 'A'],"[Timestamp('2019-03-19 20:57:00'), Timestamp('2019-03-19 20:24:00'), Timestamp('2019-03-19 20:18:00'), Timestamp('2019-03-19 20:11:00')]",C,2019-03-19 20:57:00,B,2019-03-19 20:24:00,B,2019-03-19 20:18:00,A,2019-03-19 20:11:00,,,,,,,,
2019-03-19 21:59:00,2,['A' 'B'],"[Timestamp('2019-03-19 21:04:00'), Timestamp('2019-03-19 21:56:00')]",A,2019-03-19 21:04:00,B,2019-03-19 21:56:00,,,,,,,,,,,,
2019-03-19 22:59:00,5,['B' 'D' 'B' 'B' 'B'],"[Timestamp('2019-03-19 22:05:00'), Timestamp('2019-03-19 22:48:00'), Timestamp('2019-03-19 22:25:00'), Timestamp('2019-03-19 22:56:00'), Timestamp('2019-03-19 22:20:00')]",B,2019-03-19 22:05:00,D,2019-03-19 22:48:00,B,2019-03-19 22:25:00,B,2019-03-19 22:56:00,B,2019-03-19 22:20:00,,,,,,
2019-03-19 23:59:00,6,['A' 'B' 'D' 'A' 'A' 'D'],"[Timestamp('2019-03-19 23:22:00'), Timestamp('2019-03-19 23:02:00'), Timestamp('2019-03-19 23:39:00'), Timestamp('2019-03-19 23:10:00'), Timestamp('2019-03-19 23:23:00'), Timestamp('2019-03-19 23:58:00')]",A,2019-03-19 23:22:00,B,2019-03-19 23:02:00,D,2019-03-19 23:39:00,A,2019-03-19 23:10:00,A,2019-03-19 23:23:00,D,2019-03-19 23:58:00,,,,
2019-03-20 00:59:00,1,['C'],[Timestamp('2019-03-20 00:26:00')],C,2019-03-20 00:26:00,,,,,,,,,,,,,,
2019-03-20 01:59:00,3,['D' 'B' 'C'],"[Timestamp('2019-03-20 01:27:00'), Timestamp('2019-03-20 01:03:00'), Timestamp('2019-03-20 01:27:00')]",D,2019-03-20 01:27:00,B,2019-03-20 01:03:00,C,2019-03-20 01:27:00,,,,,,,,,,
